tx_price,beds,baths,sqft,year_built,lot_size,property_type,exterior_walls,roof,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year,dates
376750.0,1.0,1.0,673.0,2005.0,46609.0,Apartment / Condo / Townhouse,Concrete Block,,,193.0,10.0,37.0,27.0,133.0,10.0,74.0,86.0,29.0,15.0,82.0,262.0,90.0,9.0,3.0,2006.0,12
210000.0,1.0,1.0,680.0,1963.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,8.0,1.0,0.0,3.0,10.0,1.0,10.0,10.0,60.0,15.0,63.0,147.0,44.0,4.0,3.0,2006.0,13
289900.0,1.0,1.0,685.0,1960.0,48787.0,Apartment / Condo / Townhouse,Brick,,,189.0,13.0,37.0,31.0,102.0,11.0,75.0,64.0,28.0,15.0,86.0,195.0,68.0,8.0,3.0,2005.0,14
535000.0,1.0,1.0,687.0,2008.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,266.0,12.0,54.0,45.0,328.0,35.0,126.0,88.0,28.0,52.0,72.0,421.0,146.0,8.0,3.0,2014.0,15
218000.0,1.0,1.0,689.0,1988.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,150.0,6.0,20.0,27.0,329.0,12.0,83.0,46.0,32.0,33.0,92.0,188.0,57.0,10.0,3.0,2009.0,16
400000.0,1.0,1.0,689.0,2008.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,198.0,9.0,38.0,25.0,126.0,12.0,72.0,84.0,29.0,15.0,82.0,276.0,96.0,9.0,3.0,2016.0,17
,,,,,,,,,,,,,,,,,,,,,,,,,,18
226000.0,1.0,1.0,690.0,1997.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,60.0,3.0,9.0,15.0,156.0,3.0,30.0,12.0,36.0,47.0,83.0,221.0,67.0,8.0,3.0,2008.0,19
363700.0,1.0,1.0,692.0,2007.0,0.0,Apartment / Condo / Townhouse,Brick,,,180.0,14.0,37.0,34.0,104.0,13.0,72.0,68.0,36.0,25.0,75.0,302.0,104.0,8.0,3.0,2007.0,20
215000.0,1.0,1.0,698.0,1963.0,0.0,Apartment / Condo / Townhouse,Brick,,,31.0,6.0,5.0,8.0,32.0,2.0,19.0,14.0,32.0,60.0,47.0,120.0,42.0,7.0,3.0,2005.0,21
327000.0,1.0,1.0,698.0,2005.0,9686.0,Apartment / Condo / Townhouse,Concrete Block,,,146.0,7.0,22.0,20.0,79.0,10.0,49.0,74.0,27.0,21.0,94.0,256.0,88.0,9.0,3.0,2010.0,22
331100.0,1.0,1.0,700.0,2005.0,9686.0,Apartment / Condo / Townhouse,Concrete Block,,,146.0,7.0,22.0,20.0,79.0,10.0,49.0,74.0,27.0,21.0,94.0,251.0,87.0,9.0,3.0,2012.0,23
240000.0,1.0,1.0,703.0,1992.0,0.0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,82.0,6.0,7.0,8.0,45.0,6.0,52.0,13.0,30.0,46.0,36.0,139.0,42.0,7.0,3.0,2005.0,24
320000.0,1.0,1.0,704.0,2005.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,99.0,8.0,8.0,11.0,103.0,4.0,47.0,34.0,31.0,30.0,99.0,261.0,79.0,8.0,3.0,2007.0,25
290800.0,1.0,1.0,704.0,2006.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,99.0,9.0,8.0,11.0,103.0,4.0,46.0,34.0,31.0,30.0,99.0,257.0,78.0,8.0,3.0,2006.0,26
375000.0,1.0,1.0,705.0,1985.0,0.0,Apartment / Condo / Townhouse,Brick,,,182.0,10.0,31.0,25.0,103.0,10.0,63.0,83.0,33.0,21.0,99.0,244.0,85.0,9.0,3.0,2005.0,27
377000.0,1.0,1.0,709.0,2005.0,111513.0,Apartment / Condo / Townhouse,Wood Siding,,,213.0,13.0,44.0,30.0,108.0,11.0,91.0,88.0,33.0,40.0,96.0,316.0,109.0,5.0,3.0,2008.0,28
262500.0,1.0,1.0,711.0,1944.0,0.0,Apartment / Condo / Townhouse,Brick,,,51.0,9.0,6.0,2.0,43.0,18.0,35.0,42.0,36.0,49.0,77.0,201.0,69.0,6.0,3.0,2014.0,29
216250.0,1.0,1.0,712.0,1944.0,0.0,Single-Family,Brick,,,53.0,13.0,7.0,3.0,43.0,19.0,43.0,41.0,36.0,23.0,90.0,187.0,64.0,6.0,3.0,2004.0,30
270000.0,1.0,1.0,722.0,1985.0,0.0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,101.0,8.0,8.0,11.0,74.0,4.0,30.0,26.0,33.0,48.0,85.0,218.0,66.0,4.0,3.0,2005.0,31
235000.0,1.0,1.0,723.0,2005.0,0.0,Apartment / Condo / Townhouse,Stucco,Other,1.0,102.0,8.0,8.0,11.0,103.0,4.0,47.0,34.0,31.0,30.0,99.0,278.0,85.0,8.0,3.0,2009.0,32
225000.0,1.0,1.0,724.0,1958.0,0.0,Apartment / Condo / Townhouse,Brick,,,122.0,11.0,27.0,25.0,183.0,12.0,69.0,36.0,57.0,13.0,83.0,118.0,41.0,6.0,3.0,2009.0,33
370000.0,1.0,1.0,725.0,2006.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,198.0,9.0,38.0,26.0,127.0,11.0,72.0,83.0,36.0,25.0,91.0,306.0,106.0,9.0,3.0,2011.0,34
232000.0,1.0,1.0,736.0,1998.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,31.0,3.0,7.0,8.0,77.0,1.0,14.0,11.0,36.0,47.0,83.0,243.0,74.0,8.0,3.0,2008.0,35
281900.0,1.0,1.0,737.0,2000.0,0.0,Apartment / Condo / Townhouse,Brick,,1.0,109.0,9.0,7.0,17.0,97.0,5.0,38.0,31.0,32.0,34.0,50.0,229.0,69.0,4.0,3.0,2005.0,36
355000.0,1.0,1.0,740.0,2000.0,0.0,Apartment / Condo / Townhouse,Brick,,,201.0,11.0,40.0,28.0,131.0,10.0,73.0,85.0,36.0,25.0,91.0,298.0,103.0,9.0,3.0,2006.0,37
350000.0,1.0,1.0,741.0,2006.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,198.0,9.0,38.0,26.0,127.0,11.0,72.0,83.0,36.0,25.0,91.0,291.0,101.0,9.0,3.0,2009.0,38
231900.0,1.0,1.0,750.0,1964.0,0.0,Apartment / Condo / Townhouse,Brick,,,100.0,8.0,9.0,10.0,85.0,9.0,81.0,28.0,35.0,63.0,70.0,118.0,41.0,7.0,3.0,2005.0,39
284000.0,1.0,1.0,755.0,1996.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,41.0,5.0,3.0,4.0,46.0,2.0,31.0,16.0,40.0,64.0,77.0,258.0,78.0,10.0,3.0,2012.0,40
255000.0,1.0,1.0,759.0,1959.0,0.0,Apartment / Condo / Townhouse,Brick,,,150.0,8.0,37.0,23.0,95.0,10.0,73.0,74.0,31.0,23.0,81.0,190.0,66.0,9.0,3.0,2012.0,41
285850.0,1.0,1.0,759.0,2006.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,99.0,9.0,8.0,11.0,103.0,4.0,46.0,34.0,31.0,30.0,99.0,266.0,81.0,8.0,3.0,2006.0,42
249298.0,1.0,1.0,759.0,2012.0,0.0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),,1.0,49.0,6.0,4.0,5.0,33.0,1.0,17.0,25.0,27.0,38.0,35.0,251.0,76.0,5.0,3.0,2012.0,43
380000.0,1.0,1.0,760.0,1991.0,0.0,Apartment / Condo / Townhouse,Brick,,,192.0,17.0,40.0,31.0,112.0,11.0,81.0,77.0,31.0,13.0,84.0,291.0,101.0,8.0,3.0,2011.0,44
,,,,,,,,,,,,,,,,,,,,,,,,,,45
244800.0,1.0,1.0,767.0,1944.0,0.0,Apartment / Condo / Townhouse,Brick,,,54.0,11.0,7.0,4.0,55.0,16.0,39.0,41.0,34.0,44.0,90.0,190.0,66.0,6.0,3.0,2011.0,46
397400.0,1.0,1.0,771.0,2005.0,111513.0,Apartment / Condo / Townhouse,Wood Siding,,,213.0,13.0,44.0,30.0,108.0,11.0,91.0,88.0,33.0,40.0,96.0,345.0,119.0,5.0,3.0,2005.0,47
345000.0,1.0,1.0,781.0,2006.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,54.0,8.0,6.0,3.0,48.0,16.0,37.0,44.0,33.0,35.0,72.0,284.0,98.0,6.0,3.0,2007.0,48
220000.0,1.0,1.0,792.0,1987.0,0.0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,31.0,5.0,4.0,4.0,33.0,0.0,37.0,11.0,35.0,50.0,82.0,221.0,67.0,8.0,3.0,2009.0,49
279000.0,1.0,1.0,796.0,1986.0,0.0,Apartment / Condo / Townhouse,Concrete,Gravel/Rock,1.0,134.0,5.0,22.0,28.0,314.0,7.0,96.0,34.0,64.0,52.0,63.0,286.0,87.0,8.0,3.0,2014.0,50
286900.0,1.0,1.0,797.0,2005.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,58.0,3.0,4.0,11.0,166.0,6.0,36.0,9.0,32.0,69.0,70.0,184.0,56.0,7.0,3.0,2006.0,51
220000.0,1.0,1.0,800.0,1985.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,18.0,1.0,0.0,3.0,15.0,0.0,5.0,11.0,39.0,64.0,81.0,184.0,56.0,6.0,3.0,2015.0,52
305000.0,1.0,1.0,805.0,1941.0,0.0,Apartment / Condo / Townhouse,Brick,,,46.0,8.0,6.0,3.0,51.0,15.0,33.0,37.0,36.0,37.0,80.0,150.0,49.0,4.0,3.0,2005.0,53
409575.0,1.0,1.0,805.0,2005.0,46609.0,Apartment / Condo / Townhouse,Concrete Block,,,193.0,10.0,37.0,27.0,133.0,10.0,74.0,86.0,29.0,15.0,82.0,302.0,104.0,9.0,3.0,2006.0,54
300367.0,1.0,1.0,805.0,2007.0,0.0,Apartment / Condo / Townhouse,Block,Roll Composition,1.0,71.0,13.0,5.0,13.0,31.0,12.0,48.0,28.0,32.0,43.0,63.0,261.0,79.0,5.0,3.0,2007.0,55
230000.0,1.0,1.0,809.0,1965.0,0.0,Apartment / Condo / Townhouse,Brick,,,48.0,7.0,3.0,9.0,49.0,2.0,36.0,48.0,40.0,41.0,90.0,172.0,60.0,9.0,3.0,2007.0,56
270000.0,1.0,1.0,810.0,1975.0,0.0,Apartment / Condo / Townhouse,Brick,,1.0,78.0,18.0,15.0,15.0,70.0,6.0,45.0,30.0,45.0,47.0,54.0,190.0,58.0,3.0,3.0,2005.0,57
210000.0,1.0,1.0,811.0,1969.0,0.0,Apartment / Condo / Townhouse,Brick,,,60.0,12.0,10.0,10.0,76.0,8.0,36.0,37.0,30.0,72.0,34.0,143.0,49.0,4.0,3.0,2011.0,58
366700.0,1.0,1.0,817.0,2004.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,124.0,12.0,10.0,15.0,111.0,12.0,65.0,41.0,32.0,32.0,88.0,274.0,83.0,7.0,3.0,2006.0,59
238600.0,1.0,1.0,834.0,1992.0,0.0,Apartment / Condo / Townhouse,Brick,,,45.0,12.0,9.0,11.0,28.0,7.0,33.0,20.0,43.0,32.0,66.0,185.0,61.0,2.0,3.0,2013.0,60
284900.0,1.0,1.0,838.0,2007.0,0.0,Apartment / Condo / Townhouse,Block,Roll Composition,1.0,71.0,13.0,5.0,13.0,31.0,12.0,48.0,28.0,32.0,43.0,63.0,249.0,76.0,5.0,3.0,2008.0,61
253000.0,1.0,1.0,850.0,1974.0,0.0,Apartment / Condo / Townhouse,Brick,,,97.0,15.0,11.0,12.0,97.0,2.0,70.0,25.0,32.0,13.0,72.0,146.0,48.0,2.0,3.0,2005.0,62
305000.0,1.0,1.0,850.0,1984.0,0.0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,66.0,11.0,5.0,11.0,24.0,5.0,50.0,15.0,56.0,24.0,66.0,200.0,61.0,5.0,3.0,2006.0,63
280000.0,1.0,1.0,850.0,1986.0,0.0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,66.0,11.0,5.0,9.0,28.0,5.0,52.0,14.0,56.0,24.0,66.0,180.0,55.0,5.0,3.0,2005.0,64
411000.0,1.0,1.0,855.0,2006.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,79.0,10.0,11.0,11.0,66.0,6.0,43.0,40.0,36.0,36.0,90.0,298.0,103.0,9.0,3.0,2007.0,65
270900.0,1.0,1.0,856.0,2005.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,65.0,8.0,6.0,7.0,51.0,6.0,33.0,35.0,33.0,16.0,72.0,167.0,58.0,4.0,3.0,2005.0,66
406250.0,1.0,1.0,859.0,2000.0,0.0,Apartment / Condo / Townhouse,Brick,,,201.0,11.0,40.0,28.0,131.0,10.0,73.0,85.0,36.0,25.0,91.0,316.0,109.0,9.0,3.0,2006.0,67
365000.0,1.0,1.0,866.0,1989.0,0.0,Apartment / Condo / Townhouse,Brick,,,190.0,7.0,34.0,36.0,194.0,12.0,62.0,33.0,32.0,31.0,85.0,277.0,96.0,6.0,3.0,2015.0,68
440000.0,1.0,1.0,879.0,2008.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,198.0,9.0,38.0,25.0,126.0,12.0,72.0,84.0,29.0,15.0,82.0,367.0,127.0,9.0,3.0,2009.0,69
250000.0,1.0,1.0,880.0,1965.0,0.0,Single-Family,Brick,,,64.0,8.0,6.0,7.0,51.0,8.0,34.0,33.0,37.0,42.0,57.0,125.0,43.0,4.0,3.0,2005.0,70
350100.0,1.0,1.0,900.0,1947.0,18730.0,Single-Family,Stucco,Composition Shingle,1.0,44.0,15.0,1.0,4.0,51.0,3.0,20.0,5.0,31.0,51.0,47.0,294.0,89.0,4.0,3.0,2006.0,71
250000.0,1.0,1.0,900.0,1965.0,0.0,Apartment / Condo / Townhouse,Brick,,,119.0,10.0,26.0,25.0,183.0,13.0,70.0,36.0,57.0,13.0,83.0,198.0,68.0,6.0,3.0,2011.0,72
305000.0,1.0,1.0,902.0,1978.0,0.0,Apartment / Condo / Townhouse,Concrete,Gravel/Rock,1.0,167.0,7.0,23.0,29.0,340.0,12.0,113.0,51.0,43.0,64.0,72.0,258.0,78.0,10.0,3.0,2005.0,73
200000.0,1.0,1.0,914.0,1982.0,0.0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,95.0,18.0,19.0,18.0,92.0,6.0,49.0,21.0,52.0,33.0,53.0,180.0,54.0,3.0,3.0,2007.0,74
371500.0,1.0,1.0,917.0,2007.0,0.0,Apartment / Condo / Townhouse,Block,Roll Composition,1.0,71.0,13.0,5.0,13.0,31.0,12.0,48.0,28.0,32.0,43.0,63.0,319.0,97.0,5.0,3.0,2013.0,75
270000.0,1.0,1.0,920.0,1978.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,33.0,5.0,4.0,5.0,29.0,2.0,21.0,17.0,34.0,66.0,72.0,168.0,51.0,8.0,3.0,2005.0,76
318000.0,1.0,1.0,926.0,1973.0,0.0,Apartment / Condo / Townhouse,Brick,,,145.0,7.0,20.0,20.0,83.0,11.0,49.0,73.0,34.0,32.0,49.0,230.0,79.0,7.0,3.0,2008.0,77
408400.0,1.0,1.0,933.0,2005.0,0.0,Single-Family,Stucco,Other,1.0,102.0,8.0,8.0,11.0,103.0,4.0,47.0,34.0,31.0,30.0,99.0,310.0,94.0,8.0,3.0,2005.0,78
325000.0,1.0,1.0,934.0,1993.0,0.0,Apartment / Condo / Townhouse,Stucco,Composition Shingle,1.0,121.0,11.0,10.0,15.0,109.0,13.0,59.0,44.0,52.0,42.0,63.0,180.0,54.0,7.0,3.0,2005.0,79
239000.0,1.0,1.0,945.0,1984.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,21.0,3.0,1.0,5.0,28.0,3.0,9.0,13.0,48.0,40.0,59.0,184.0,56.0,7.0,1.0,2007.0,80
367500.0,1.0,1.0,950.0,1986.0,0.0,Apartment / Condo / Townhouse,Brick,,,192.0,7.0,34.0,37.0,194.0,10.0,61.0,33.0,45.0,32.0,79.0,345.0,119.0,6.0,3.0,2006.0,81
378000.0,1.0,1.0,961.0,2006.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,54.0,8.0,6.0,3.0,48.0,16.0,37.0,44.0,33.0,35.0,72.0,280.0,97.0,6.0,3.0,2013.0,82
269000.0,1.0,1.0,966.0,1996.0,0.0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,110.0,12.0,10.0,14.0,102.0,12.0,60.0,44.0,52.0,42.0,63.0,241.0,73.0,7.0,3.0,2006.0,83
245000.0,1.0,1.0,999.0,1979.0,0.0,Apartment / Condo / Townhouse,Brick,,1.0,88.0,17.0,18.0,18.0,88.0,6.0,47.0,25.0,59.0,54.0,57.0,163.0,49.0,3.0,3.0,2007.0,84
225000.0,1.0,1.0,1005.0,1982.0,0.0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,66.0,10.0,5.0,10.0,23.0,6.0,49.0,14.0,56.0,24.0,66.0,184.0,56.0,5.0,3.0,2014.0,85
302000.0,1.0,1.0,1014.0,1985.0,0.0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,101.0,8.0,8.0,11.0,70.0,4.0,30.0,23.0,33.0,48.0,85.0,284.0,86.0,4.0,3.0,2011.0,86
387900.0,1.0,1.0,1050.0,2005.0,0.0,Apartment / Condo / Townhouse,Stucco,Other,1.0,102.0,8.0,8.0,11.0,103.0,4.0,47.0,34.0,31.0,30.0,99.0,310.0,94.0,8.0,3.0,2005.0,87
560000.0,1.0,1.0,1092.0,1984.0,0.0,Apartment / Condo / Townhouse,Brick,Asphalt,,194.0,6.0,35.0,39.0,193.0,10.0,63.0,35.0,46.0,37.0,90.0,489.0,169.0,6.0,3.0,2007.0,88
750000.0,1.0,1.0,1322.0,2009.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,266.0,10.0,53.0,47.0,320.0,35.0,122.0,94.0,28.0,52.0,72.0,666.0,231.0,8.0,3.0,2012.0,89
299700.0,1.0,2.0,814.0,2008.0,96703.0,Apartment / Condo / Townhouse,Wood Siding,Slate,,75.0,11.0,10.0,8.0,91.0,5.0,53.0,40.0,45.0,60.0,71.0,321.0,93.0,9.0,3.0,2012.0,90
779900.0,1.0,2.0,1207.0,2012.0,0.0,Apartment / Condo / Townhouse,Brick,,,164.0,11.0,32.0,31.0,107.0,12.0,62.0,64.0,36.0,25.0,75.0,612.0,212.0,8.0,3.0,2014.0,91
379000.0,1.0,2.0,1489.0,1940.0,0.0,Apartment / Condo / Townhouse,Brick,,,37.0,6.0,5.0,4.0,45.0,10.0,24.0,25.0,39.0,41.0,83.0,258.0,89.0,6.0,3.0,2007.0,92
225000.0,2.0,1.0,768.0,1950.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,8.0,1.0,0.0,3.0,9.0,2.0,10.0,9.0,35.0,29.0,73.0,192.0,58.0,4.0,3.0,2006.0,93
230000.0,2.0,1.0,793.0,1950.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,10.0,1.0,0.0,4.0,10.0,2.0,10.0,10.0,35.0,29.0,73.0,196.0,59.0,4.0,3.0,2004.0,94
328000.0,2.0,1.0,800.0,1950.0,0.0,Apartment / Condo / Townhouse,Brick,,,74.0,15.0,13.0,11.0,51.0,18.0,44.0,42.0,33.0,35.0,87.0,219.0,76.0,6.0,3.0,2005.0,95
407800.0,2.0,1.0,803.0,2000.0,33541.0,Apartment / Condo / Townhouse,Wood Siding,,,198.0,9.0,38.0,25.0,127.0,11.0,72.0,83.0,36.0,25.0,91.0,309.0,107.0,9.0,3.0,2005.0,96
470630.0,2.0,1.0,814.0,2005.0,9686.0,Apartment / Condo / Townhouse,Concrete Block,,,146.0,7.0,22.0,20.0,79.0,10.0,49.0,73.0,27.0,21.0,94.0,313.0,108.0,9.0,3.0,2006.0,97
270000.0,2.0,1.0,816.0,1949.0,3846.0,Single-Family,Brick,Composition Shingle,1.0,43.0,9.0,4.0,6.0,24.0,0.0,21.0,11.0,38.0,63.0,46.0,340.0,103.0,5.0,3.0,2015.0,98
359500.0,2.0,1.0,835.0,1954.0,0.0,Apartment / Condo / Townhouse,Brick,,,38.0,9.0,5.0,4.0,51.0,9.0,32.0,29.0,31.0,58.0,93.0,282.0,93.0,4.0,3.0,2009.0,99
355000.0,2.0,1.0,836.0,1994.0,0.0,Apartment / Condo / Townhouse,Brick,,,56.0,7.0,9.0,6.0,64.0,6.0,40.0,41.0,36.0,36.0,90.0,265.0,92.0,9.0,3.0,2012.0,100
283000.0,2.0,1.0,845.0,1942.0,0.0,Apartment / Condo / Townhouse,Brick,,,148.0,12.0,20.0,13.0,88.0,13.0,65.0,49.0,44.0,20.0,74.0,182.0,63.0,7.0,3.0,2006.0,101
378000.0,2.0,1.0,864.0,1942.0,1296.0,Apartment / Condo / Townhouse,Brick,Roll Composition,1.0,70.0,9.0,14.0,13.0,59.0,5.0,35.0,45.0,35.0,47.0,32.0,319.0,106.0,4.0,3.0,2015.0,102
255000.0,2.0,1.0,870.0,1984.0,1306.0,Apartment / Condo / Townhouse,,Composition Shingle,,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,32.0,64.0,57.0,242.0,62.0,7.0,3.0,2007.0,103
306000.0,2.0,1.0,875.0,1950.0,0.0,Apartment / Condo / Townhouse,Brick,,,51.0,8.0,6.0,2.0,40.0,18.0,33.0,40.0,36.0,49.0,77.0,228.0,79.0,6.0,3.0,2012.0,104
292999.0,2.0,1.0,875.0,1950.0,1220551.0,Apartment / Condo / Townhouse,Brick,,,63.0,11.0,11.0,8.0,39.0,18.0,42.0,44.0,33.0,35.0,87.0,230.0,79.0,6.0,3.0,2014.0,105
369900.0,2.0,1.0,891.0,2004.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,124.0,12.0,10.0,15.0,111.0,12.0,65.0,41.0,32.0,32.0,88.0,294.0,89.0,7.0,3.0,2006.0,106
326000.0,2.0,1.0,893.0,2003.0,0.0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,114.0,9.0,10.0,16.0,101.0,10.0,60.0,41.0,32.0,32.0,88.0,303.0,92.0,7.0,3.0,2011.0,107
350000.0,2.0,1.0,900.0,1941.0,0.0,Apartment / Condo / Townhouse,Brick,,,51.0,8.0,7.0,4.0,53.0,18.0,37.0,43.0,36.0,37.0,80.0,240.0,79.0,4.0,3.0,2005.0,108
350000.0,2.0,1.0,900.0,1941.0,0.0,Single-Family,Brick,,,51.0,8.0,7.0,4.0,53.0,18.0,37.0,43.0,36.0,37.0,80.0,240.0,79.0,4.0,3.0,2005.0,109
396875.0,2.0,1.0,912.0,1960.0,48787.0,Apartment / Condo / Townhouse,Brick,,,189.0,13.0,37.0,31.0,102.0,11.0,75.0,64.0,28.0,15.0,86.0,250.0,87.0,8.0,3.0,2005.0,110
374900.0,2.0,1.0,912.0,1983.0,0.0,Apartment / Condo / Townhouse,Brick,,,51.0,8.0,6.0,2.0,40.0,18.0,33.0,40.0,36.0,49.0,77.0,266.0,92.0,6.0,3.0,2005.0,111
232150.0,2.0,1.0,920.0,1941.0,0.0,Apartment / Condo / Townhouse,Brick,,,65.0,9.0,9.0,4.0,55.0,17.0,44.0,44.0,36.0,37.0,80.0,240.0,80.0,4.0,3.0,2003.0,112
327000.0,2.0,1.0,924.0,1961.0,0.0,Apartment / Condo / Townhouse,Brick,,,50.0,7.0,2.0,6.0,52.0,4.0,37.0,37.0,34.0,34.0,66.0,235.0,81.0,9.0,3.0,2008.0,113
455900.0,2.0,1.0,928.0,2013.0,0.0,Apartment / Condo / Townhouse,Wood Siding,,,107.0,9.0,30.0,19.0,89.0,6.0,47.0,58.0,33.0,65.0,84.0,345.0,119.0,9.0,3.0,2013.0,114
290000.0,2.0,1.0,930.0,1983.0,0.0,Apartment / Condo / Townhouse,Brick,,,51.0,9.0,6.0,2.0,45.0,18.0,32.0,42.0,36.0,49.0,77.0,244.0,84.0,6.0,3.0,2006.0,115
301000.0,2.0,1.0,930.0,1986.0,1135.0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,92.0,8.0,7.0,9.0,47.0,5.0,45.0,17.0,31.0,74.0,59.0,204.0,62.0,8.0,3.0,2005.0,116
